long_name,open_or_closed,short_name
llama-2-70b-chat,open ,llama-2
tulu-2-dpo-70b,open,tulu-2-dpo-70b
mpt-7b-chat,open,mpt-7b-chat
chatglm3-6b,open,chatglm3-6b
llama2-70b-steerlm-chat,-1,llama2-70b-steerlm-chat
oasst-pythia-12b,open,oasst-pythia-12b
pplx-70b-online,closed,pplx
llama-13b,open,llama-13b
claude-1,closed,claude-1
zephyr-7b-alpha,open,zephyr-7b
openchat-3.5,open,openchat-3.5
chatglm-6b,open,chatglm-6b
dolly-v2-12b,open,dolly-v2-12b
solar-10.7b-instruct-v1.0,open,solar-10.7b-instruct-v1.0
mistral-next,closed,mistral-next
gpt-3.5-turbo-0125,closed,gpt-3.5
llama-2-7b-chat,open,llama-2
stripedhyena-nous-7b,open,stripedhyena-nous-7b
gemma-2b-it,open,gemma-2b-it
codellama-34b-instruct,open,codellama-34b-instruct
claude-2.0,closed,claude-2.0
zephyr-7b-beta,open,zephyr-7b
alpaca-13b,open,alpaca-13b
claude-instant-1,closed,claude-instant-1
llama-2-13b-chat,open,llama-2
gemini-pro,closed,gemini-pro
mistral-7b-instruct-v0.2,open,mistral-7b-instruct-v0.2
pplx-7b-online,closed,pplx
claude-3-opus-20240229,closed,claude-3
mistral-medium,closed,mistral-medium
palm-2,-1,palm-2
gemini-pro-dev-api,closed,gemini-pro
codellama-70b-instruct,open,codellama-70b-instruct
gpt-4-0314,closed,gpt-4
chatglm2-6b,open,chatglm2-6b
gpt-4-0125-preview,closed,gpt-4
olmo-7b-instruct,open,olmo-7b-instruct
mixtral-8x7b-instruct-v0.1,open,mixtral-8x7b-instruct-v0.1
nous-hermes-2-mixtral-8x7b-dpo,open,nous-hermes-2-mixtral-8x7b-dpo
deepseek-llm-67b-chat,open,deepseek-llm-67b-chat
gpt4all-13b-snoozy,open,gpt4all-13b-snoozy
qwen1.5-7b-chat,open,qwen1.5-7b-chat
guanaco-33b,open,guanaco-33b
mistral-large-2402,closed,mistral-large-2402
gemma-7b-it,open,gemma-7b-it
wizardlm-70b,-1,wizardlm-70b
starling-lm-7b-alpha,open,starling-lm-7b-alpha
stablelm-tuned-alpha-7b,open,stablelm-tuned-alpha-7b
mpt-30b-chat,open,mpt-30b-chat
gpt-3.5-turbo-0613,closed,gpt-3.5
gpt-3.5-turbo-1106,closed,gpt-3.5
gpt-4-0613,closed,gpt-4
yi-34b-chat,open,yi-34b-chat
gpt-4-1106-preview,closed,gpt-4
bard-jan-24-gemini-pro,closed,bard-jan-24-gemini-pro
openchat-3.5-0106,open,openchat-3.5
vicuna-7b,open,vicuna-7b
qwen-14b-chat,open,qwen-14b-chat
claude-2.1,closed,claude-2.1
RWKV-4-Raven-14B,open,RWKV-4-Raven-14B
openhermes-2.5-mistral-7b,open,openhermes-2.5-mistral-7b
falcon-180b-chat,open,falcon-180b-chat
dolphin-2.2.1-mistral-7b,open,dolphin-2.2.1-mistral-7b
koala-13b,open,koala-13b
gpt-3.5-turbo-0314,closed,gpt-3.5
vicuna-13b,open,vicuna-13b
vicuna-33b,open,vicuna-33b
mistral-7b-instruct,-1,mistral-7b-instruct
qwen1.5-72b-chat,open,qwen1.5-72b-chat
fastchat-t5-3b,open,fastchat-t5-3b
qwen1.5-4b-chat,open,qwen1.5-4b-chat
claude-3-sonnet-20240229,closed,claude-3
wizardlm-13b,-1,wizardlm-13b